PRO;Ja, seinen Müll immer ordentlich zu trennen ist nervig und mühselig. Drei verschiedene Müllbeutel müffeln in der Küche und müssen in drei unterschiedliche Tonnen einsortiert werden. Aber immer noch wird in Deutschland viel zu viel Müll produziert und zu viele Ressourcen gehen verloren, wenn zusammen verbrannt wird, was getrennt eigentlich verwertet werden könnte. Wir Berliner sollten die Chance nutzen und Vorreiter im Mülltrennen werden!
PRO;"In Friedrichshain oder Neukölln kann man sich heutzutage nicht mehr bewegen, ohne permanent den Boden nach Hundehaufen abzusuchen. Und wenn man doch mal Pech hat und eine der vielen ""Tretminen"" trifft, muss man sich die stinkenden Hinterlassenschaften mühselig von der Sohle kratzen. Höhere Geldstrafen sind da das richtige Mittel gegen nachlässige, faule oder einfach gedankenlose Hundehalter. Klar, die müssen erstmal von den wenigen Ordnungsbeamten erwischt werden, aber wenn sie dann die Brieftasche zücken müssen, wird ihnen die Faulheit schon vergehen!"
CONTRA;Die Krankenkassen sollten Behandlungen beim Natur- oder Heilpraktiker nicht zahlen, es sei denn der versprochene Effekt und dessen medizinischer Nutzen sind handfest nachgewiesen. Genau dieser Nachweis fehlt jedoch in den meisten Fällen. Zwar verweisen die Patienten oft auf eine Linderung ihrer Beschwerden nach derartigen Behandlungen. Solange aber nicht klar ist, wieso es dazu kommt, sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss.
CONTRA;Natürlich gibt es auch im Öffentlich-Rechtlichen einige Sendungen, die den Rundfunkbeitrag nicht wert sind, und andere, wie der Musikantenstadl oder die vielen Telenovelas, sind nur für bestimmte Zuschauergruppen interessant. Trotzdem sollten alle gleichermaßen für die Finanzierung der öffentlich rechtlichen Sender aufkommen, denn wir brauchen allgemeine und unabhängige Medien. Schließlich wollen wir unsereren Blick auf die Welt weder durch die Brille der Regierung noch durch die von reichen Medienunternehmern bekommen.
PRO;Die Geheimdienste müssen dringend stärker vom Parlament kontrolliert werden, das sollte jedem nach den Enthüllungen von Edward Snowden klar sein. Die betreffen zwar vor allem die britischen und amerikanischen Geheimdienste, aber mit denen arbeiten die Deutschen Dienste bekanntermaßen eng zusammen. Deren Werkzeuge, Daten und Knowhow wird schon lange zu unserer Überwachung genutzt.
CONTRA;Die Todesstrafe ist ein Rechtsmittel, welches als solches in Deutschland nicht anwendbar ist. Zum einen ist in unserer Verfassung eine unantastbare Menschenwürde verankert und zum anderen kann sich kein Mensch ein Recht herausnehmen, über den Tod eines anderen Menschen entscheiden zu dürfen. Auch wenn viele Menschen denken, dass ein Mörder bereits über Leben und Tod eines anderen Menschen entschieden hat, ist dies ja die Straftat, die wir nicht mit eben solcher vergelten können.
PRO;Hundehaufen auf Gehwegen erfordern meine komplette, auf den Boden gerichtete, Aufmerksamkeit auf dem Weg zur Arbeit. Dadurch entsteht eine Unachtsamkeit im Straßenverkehr, die vergleichbar mit einem Delikt der StVo ist. Deshalb sollte die Verursachung eines solchen Hindernisses stärker geahndet werden. Hundehalter mögen denken, dass ein Hundehaufen nur ein harmlose Sekret eines Tieres wie jedes andere ist. Doch dann verkennen sie die Auswirkungen auf den Straßenverkehr.
CONTRA;"Natürlich wäre es schön einfach, wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss und dann beruhigt sein kann. Doch so einfach ist es nicht. Vielleicht ist in dieser Nacht schon ein neues Leben entstanden. Ich würde es ohne Nachzudenken töten. Deshalb sollte ein Besuch beim Arzt und die ärztliche Beratung verpflichtend bleiben."
PRO;Dass Mieter heutzutage bei einem Neueinzug einen viel höheren Preis als der Vormieter zahlen müssen, ist ungerecht und nicht mehr zu rechtfertigen. Sicherlich muss der Vermieter einige Instandsetzungs-Maßnahmen vor Neueinzug zahlen. Doch diese Ausgaben müssten auch durch minimale Mieterhöhungen über den gesamten Mietzeitraum getilgt werden können. Zumal der Mietpreis gegenüber dem Grundmietpreis für einen ausreichenden Gewinn nicht bei jeder Neuvermietung angehoben werden muss.
PRO;"Alternative Heilpraktiken sollten genauso wie ärztliche Behandlungen bezuschusst werden, weil beide Wege zur Verhinderung, Minderung oder Heilung einer Krankheit führen könnten. Zudem müsste es im Sinne der Krankenkassen liegen, Naturheilpraktiken als ärztliche Behandlung anzuerkennen, da eine Chance der Genesung besteht. Es spielt dabei doch keine Rolle, dass die Behandelnden nicht den ""Ärzte-Status"" tragen."
PRO;Für auf dem Bürgersteig hinterlassene Hundehaufen sollte man Hundebesitzer ruhig etwas mehr zur Kasse bitten. Die Tiere an sich können zwar nichts dafür, aber einmal hineingetreten, scheinen ihre Exkremente überaus hartnäckig an den Schuhsohlen zu haften.
PRO;"Manche mögen das Konzept der Schul-Uniform anachronistisch finden, oder als einen zu starken Eingriff in den Entscheidungsspielraum von Schülern und Eltern begreifen. In der Tat ist es jedoch heute schon so, dass die Schüler auch vermeintlich ""Uniform-freier"" Schulen im Prinzip eine Uniform tragen, die aus bestimmten Markenklamotten besteht. Ein einfach gestaltetes, praktisches Outfit würde das visuelle Gesamtbild der Schule beruhigen, und den Fokus auf Charakter und Leistungen der Schüler - und nicht ihre Kaufkraft - lenken."
PRO;"Selbstverständlich sollten die Krankenkassen Behandlungen der alternativen Medizin unterstützen. Nicht alle Praktiken und Ansätze, die sich unter dieser Bezeichnung verbergen, mögen durch klinische Studien bestärkt worden sein, jedoch ist gerade deren positive Wirkung in Begleitung konventioneller ""westlicher"" medizinischer Therapien durchaus belegbar. Ausserdem bieten viele niedergelassene Ärzte derlei Beratungen und Leistungen sowieso parallel an - und wer wird deren breitere Expertise in Frage stellen wollen?"
PRO;Eigentlich sollten nur die einen Rundfunkbeitrag zahlen, die auch wirklich ARD, ZDF, Arte usw. gucken. Es ist ja an und für sich gut, ein anspruchsvolleres Programm durch Gebühren zu unterstützen. Kurioserweise gibt es jedoch trotzdem Werbung und Produktplatzierung auf den Öffentlichen. Wofür zahlt man dann noch? Dass immer die gleichen Schauspieltruppen sich einen Lenz an exotischen Drehorten machen? Auch die Drehbücher sind oft voneinander abgekupfert.
PRO;Also, ich als Arbeitnehmer fände es sehr praktisch, zumindest an Wochenenden einkaufen zu können. Klar müssen dann auch Leute am Wochenende in den Läden arbeiten, aber die haben dann eben innerhalb der Woche frei und können in Ruhe Termine wahrnehmen, während ich im Büro sitze. Ausserdem will doch der Staat, dass ich mein Geld ausgebe, und wie soll ich dass machen, wenn die Geschäfte nicht offen sind, wenn ich frei habe?
